DATE,WEEKDAY,NAME,TYPE,DETAILS
1/1/2019,Tuesday,New Year's Day,Federal Holiday,
1/6/2019,Sunday,Epiphany,Christian,
1/7/2019,Monday,Orthodox Christmas Day,Orthodox,
1/13/2019,Sunday,Stephen Foster Memorial Day,Observance,
1/14/2019,Monday,Orthodox New Year,Orthodox,
1/18/2019,Friday,Lee-Jackson Day,State holiday,Virginia
1/19/2019,Saturday,Robert E. Lee's Birthday,State holiday,Florida
1/19/2019,Saturday,Confederate Heroes' Day,State holiday,Texas
1/21/2019,Monday,Tu Bishvat/Tu B'Shevat,Jewish holiday,
1/21/2019,Monday,Martin Luther King Jr. Day,Federal Holiday,
1/21/2019,Monday,Robert E. Lee's Birthday,State holiday,Alabama Mississippi
1/21/2019,Monday,Idaho Human Rights Day,State holiday,Idaho
1/21/2019,Monday,Civil Rights Day,State holiday,Arizona New Hampshire
1/29/2019,Tuesday,Kansas Day,Observance,
2/1/2019,Friday,National Freedom Day,Observance,
2/1/2019,Friday,National Wear Red Day,Observance,
2/2/2019,Saturday,Groundhog Day,Observance,
2/3/2019,Sunday,Super Bowl,Sporting event,
2/4/2019,Monday,Rosa Parks Day,Local observance,California Missouri
2/5/2019,Tuesday,Chinese New Year,Observance,
2/12/2019,Tuesday,Lincoln's Birthday,State holiday,CT IL MO NY
2/12/2019,Tuesday,Lincoln's Birthday,Local observance,Florida
2/14/2019,Thursday,Valentine's Day,Observance,
2/14/2019,Thursday,Statehood Day,Local observance,Arizona
2/15/2019,Friday,Susan B. Anthony's Birthday,Local observance,CA FL NY WI
2/16/2019,Saturday,Elizabeth Peratrovich Day,Local observance,Alaska
2/18/2019,Monday,Presidents' Day,Federal Holiday,All except DE GA IA IN KS KY LA NC NM RI WI
2/18/2019,Monday,Daisy Gatson Bates Day,State holiday,Arkansas
2/28/2019,Thursday,Linus Pauling Day,Local observance,Oregon
3/1/2019,Friday,St. David's Day,Observance Christian,
3/1/2019,Friday,Read Across America Day,Observance,
3/1/2019,Friday,Employee Appreciation Day,Observance,
3/2/2019,Saturday,Texas Independence Day,State holiday,Texas
3/4/2019,Monday,Maha Shivaratri,Hindu Holiday,
3/4/2019,Monday,Casimir Pulaski Day,Local observance,Illinois
3/5/2019,Tuesday,Shrove Tuesday/Mardi Gras,Observance Christian,
3/5/2019,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,Alabama Louisiana
3/5/2019,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,Florida
3/5/2019,Tuesday,Town Meeting Day,State holiday,Vermont
3/6/2019,Wednesday,Ash Wednesday,Christian,
3/10/2019,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time,
3/17/2019,Sunday,St. Patrick's Day,Observance Christian,
3/17/2019,Sunday,Evacuation Day,State holiday,Massachusetts
3/18/2019,Monday,Evacuation Day observed,State holiday,Massachusetts
3/20/2019,Wednesday,March Equinox,Season,
3/21/2019,Thursday,Holi,Hindu Holiday,
3/21/2019,Thursday,Purim,Jewish holiday,
3/25/2019,Monday,Maryland Day,Local observance,Maryland
3/25/2019,Monday,Seward's Day,State holiday,Alaska
3/26/2019,Tuesday,Prince Jonah Kuhio Kalanianaole Day,State holiday,Hawaii
3/29/2019,Friday,National Vietnam War Veterans Day,Observance,
3/31/2019,Sunday,César Chávez Day,State holiday,AZ CA CO MI NM NV TX UT WA
4/1/2019,Monday,César Chávez Day observed,State holiday,California
4/2/2019,Tuesday,Pascua Florida Day,Local observance,Florida
4/3/2019,Wednesday,Isra and Mi'raj,Muslim,
4/6/2019,Saturday,National Tartan Day,Observance,
4/9/2019,Tuesday,National Library Workers' Day,Observance,
4/13/2019,Saturday,Thomas Jefferson's Birthday,Observance,
4/14/2019,Sunday,Palm Sunday,Christian,
4/15/2019,Monday,Tax Day,Observance,
4/15/2019,Monday,Father Damien Day,Local observance,Hawaii
4/15/2019,Monday,Patriot's Day,State holiday,Maine Massachusetts
4/15/2019,Monday,Boston Marathon,Sporting event,
4/16/2019,Tuesday,Emancipation Day,State holiday,District of Columbia
4/18/2019,Thursday,Maundy Thursday,Christian,
4/19/2019,Friday,Good Friday,State holiday,CT DE HI IN KY LA NC ND NJ TN TX
4/20/2019,Saturday,Holy Saturday,Christian,
4/20/2019,Saturday,Passover (first day),Jewish holiday,
4/21/2019,Sunday,Easter Sunday,Observance Christian,
4/21/2019,Sunday,San Jacinto Day,State holiday,Texas
4/22/2019,Monday,Easter Monday,Observance Christian,
4/22/2019,Monday,Oklahoma Day,Local observance,Oklahoma
4/22/2019,Monday,Confederate Memorial Day,State holiday,Alabama
4/22/2019,Monday,State Holiday,State holiday,Georgia
4/24/2019,Wednesday,Administrative Professionals Day,Observance,
4/25/2019,Thursday,Take our Daughters and Sons to Work Day,Observance,
4/26/2019,Friday,Orthodox Good Friday,Orthodox,
4/26/2019,Friday,Arbor Day,State holiday,Nebraska
4/26/2019,Friday,Confederate Heroes' Day,Local observance,Florida
4/27/2019,Saturday,Last Day of Passover,Jewish holiday,
4/27/2019,Saturday,Orthodox Holy Saturday,Orthodox,
4/28/2019,Sunday,Orthodox Easter,Orthodox,
4/29/2019,Monday,Orthodox Easter Monday,Orthodox,
4/29/2019,Monday,Confederate Memorial Day,State holiday,Mississippi
5/1/2019,Wednesday,Yom HaShoah,Jewish commemoration,
5/1/2019,Wednesday,Law Day,Observance,
5/1/2019,Wednesday,Loyalty Day,Observance,
5/1/2019,Wednesday,Lei Day,Local observance,Hawaii
5/2/2019,Thursday,National Day of Prayer,Observance,
5/3/2019,Friday,Kentucky Oaks,Sporting event,
5/4/2019,Saturday,Kent State Shootings Remembrance,Local observance,Ohio
5/4/2019,Saturday,Kentucky Derby,Sporting event,
5/4/2019,Saturday,Rhode Island Independence Day,Local observance,Rhode Island
5/4/2019,Saturday,National Explosive Ordnance Disposal (EOD) Day,Observance,
5/5/2019,Sunday,Cinco de Mayo,Observance,
5/6/2019,Monday,Ramadan Starts,Muslim,
5/6/2019,Monday,National Nurses Day,Observance,
5/8/2019,Wednesday,Truman Day,State holiday,Missouri
5/9/2019,Thursday,Yom Ha'atzmaut,Jewish holiday,
5/10/2019,Friday,Confederate Memorial Day,Local observance,North Carolina
5/10/2019,Friday,Confederate Memorial Day,State holiday,South Carolina
5/10/2019,Friday,Military Spouse Appreciation Day,Observance,
5/12/2019,Sunday,Mother's Day,Observance,
5/15/2019,Wednesday,Peace Officers Memorial Day,Observance,
5/17/2019,Friday,National Defense Transportation Day,Observance,
5/18/2019,Saturday,Armed Forces Day,Observance,
5/18/2019,Saturday,Preakness Stakes,Sporting event,
5/22/2019,Wednesday,Emergency Medical Services for Children Day,Observance,
5/22/2019,Wednesday,National Maritime Day,Observance,
5/22/2019,Wednesday,Harvey Milk Day,Local observance,California
5/23/2019,Thursday,Lag BaOmer,Jewish holiday,
5/25/2019,Saturday,National Missing Children's Day,Observance,
5/27/2019,Monday,Memorial Day,Federal Holiday,
5/27/2019,Monday,Jefferson Davis' Birthday,Local observance,Mississippi
5/30/2019,Thursday,Ascension Day,Christian,
6/1/2019,Saturday,Lailat al-Qadr,Muslim,
6/1/2019,Saturday,Statehood Day,Local observance,Kentucky Tennessee
6/3/2019,Monday,Jefferson Davis' Birthday,Local observance,Florida
6/3/2019,Monday,Jefferson Davis' Birthday,State holiday,Alabama
6/4/2019,Tuesday,Eid al-Fitr,Muslim,
6/6/2019,Thursday,D-Day,Observance,
6/8/2019,Saturday,Belmont Stakes,Sporting event,
6/9/2019,Sunday,Pentecost,Christian,
6/9/2019,Sunday,Shavuot,Jewish holiday,
6/10/2019,Monday,Whit Monday,Christian,
6/11/2019,Tuesday,Kamehameha Day,State holiday,Hawaii
6/14/2019,Friday,Army Birthday,Observance,
6/14/2019,Friday,Flag Day,Observance,
6/16/2019,Sunday,Trinity Sunday,Christian,
6/16/2019,Sunday,Father's Day,Observance,
6/16/2019,Sunday,Bunker Hill Day,Local observance,Massachusetts
6/19/2019,Wednesday,Emancipation Day,State holiday,Texas
6/19/2019,Wednesday,Juneteenth,Local observance,All except HI MT ND SD TX
6/20/2019,Thursday,West Virginia Day,State holiday,West Virginia
6/20/2019,Thursday,American Eagle Day,Observance,
6/21/2019,Friday,June Solstice,Season,
6/23/2019,Sunday,Corpus Christi,Christian,
7/4/2019,Thursday,Independence Day,Federal Holiday,
7/5/2019,Friday,Independence Day Holiday,State Government Holiday,Maryland West Virginia
7/13/2019,Saturday,Nathan Bedford Forrest Day,Local observance,Tennessee
7/14/2019,Sunday,Bastille Day,Observance,
7/24/2019,Wednesday,Pioneer Day,State holiday,Utah
7/27/2019,Saturday,National Korean War Veterans Armistice Day,Observance,
7/28/2019,Sunday,Parents' Day,Observance,
8/1/2019,Thursday,Colorado Day,Local observance,Colorado
8/4/2019,Sunday,Coast Guard Birthday,Observance,
8/7/2019,Wednesday,Purple Heart Day,Observance,
8/11/2019,Sunday,Tisha B'Av,Jewish holiday,
8/11/2019,Sunday,Eid al-Adha,Muslim,
8/12/2019,Monday,Victory Day,State holiday,Rhode Island
8/14/2019,Wednesday,Raksha Bandhan,Hindu Holiday,
8/15/2019,Thursday,Assumption of Mary,Christian,
8/16/2019,Friday,Hawaii Statehood Day,State holiday,Hawaii
8/16/2019,Friday,Bennington Battle Day,State holiday,Vermont
8/19/2019,Monday,National Aviation Day,Observance,
8/21/2019,Wednesday,Senior Citizens Day,Observance,
8/23/2019,Friday,Janmashtami,Hindu Holiday,
8/26/2019,Monday,Women's Equality Day,Observance,
8/27/2019,Tuesday,Lyndon Baines Johnson Day,State holiday,Texas
8/31/2019,Saturday,Muharram,Muslim,
